   0.85	  -0.90	   1.74
   3.90	  -0.07	   3.14
   4.05	  -0.65	   4.43
   2.50	  -2.05	   6.76
   2.08	  -4.16	   9.18
  -0.32	  -6.46	  10.55
  -2.77	  -6.55	  12.26
  -5.53	  -6.24	  14.82
  -3.48	  -7.85	  15.72
  -2.68	  -9.55	  17.92
  -9.50	 -12.40	  21.35
 -13.26	 -11.89	  23.16
 -13.83	  -7.70	  23.23
 -16.49	   9.67	  18.49
 -21.79	   7.82	  19.31
 -21.94	  32.39	  24.96
 -25.26	  32.70	  32.62
 -31.29	  28.04	  34.58
 -29.11	  38.32	  35.68
-179.33	 110.48	 102.70
 138.92	 115.98	 118.30
 133.95	 119.79	 127.52
 130.27	 121.61	 132.85
 123.24	 117.38	 125.13
 115.27	 111.77	 117.19
 102.97	  73.47	  75.01
  72.23	  49.14	  26.77
  36.75	 -17.36	  37.51
  24.51	 -27.27	  71.65
  18.54	 -21.54	  81.73
  12.83	 -15.84	  84.83
   7.89	 -10.34	  87.05
   2.84	  -8.68	  80.68
  12.17	  13.28	  52.94
  74.15	  46.62	  45.83
  99.29	  69.01	  55.49
  95.31	  75.46	  45.88
  86.54	  65.47	  20.59
  61.80	  27.96	  15.40
  42.15	 -19.12	  36.34
  34.16	 -34.67	  74.64
  25.95	-156.23	  96.86
  20.12	 -20.94	  82.28
  40.08	   6.56	  42.28
  75.53	  40.38	  28.17
  86.08	  58.42	  22.73
  84.32	  60.17	  14.76
  76.11	  46.83	   9.77
  63.39	  20.77	  11.85
  53.28	  -9.88	  19.43
  49.06	 -17.78	  25.67
  45.63	 -16.39	  27.56
  44.22	 -14.62	  26.83
  45.47	 -12.62	  23.18
  47.97	 -17.07	  19.06
  51.27	 -29.94	  26.30
  41.43	 -31.91	  45.54
  32.67	 -20.82	  49.13
  47.53	  11.35	  31.69
  77.67	  46.41	  21.95
  88.16	  67.09	  14.67
  86.07	  69.43	   2.82
  82.11	  58.92	  -1.75
  80.51	  52.44	  -2.20
  81.71	  50.49	   1.31
  82.04	  45.93	   4.33
  81.11	  41.41	   4.54
  79.28	  36.09	   4.47
  74.84	  20.98	   6.70
  65.66	 -14.66	  14.48
  61.08	 -46.66	  38.81
  50.11	 -49.95	  84.19
  40.87	-139.71	  96.93
  35.12	-146.57	 100.05
  30.63	-152.54	 101.85
  27.12	-157.34	 102.16
  23.63	-160.01	  99.57
  19.65	 -19.67	  89.92
  24.82	 -13.77	  60.76
  66.01	  21.49	  36.63
  89.84	  46.81	  29.80
  96.27	  67.65	  30.33
  95.53	  78.28	  33.49
  93.69	  78.85	  20.91
  92.85	  70.37	   8.17
  89.57	  45.04	   6.00
  78.99	   0.36	  11.38
  62.12	 -40.76	  42.45
  39.35	-140.28	  95.35
  26.67	-154.46	 107.38
  57.69	 -15.09	  48.92
  94.96	  27.43	  27.38
  98.98	  46.72	  20.04
  96.19	  55.46	  10.76
  93.58	  48.26	   4.73
  88.49	  20.40	   9.15
  78.29	 -14.96	  17.99
  62.73	 -43.96	  48.86
  40.56	-139.39	  90.25
  33.01	-146.05	  94.06
  69.52	 -11.88	  43.37
  89.08	  10.61	  29.39
  96.90	  29.08	  21.17
  98.36	  49.25	  12.27
  94.53	  61.94	   0.64
  91.94	  60.13	  -7.45
  93.20	  45.52	  -4.08
  91.53	  19.00	   3.64
  84.89	 -13.76	  13.86
  76.07	 -42.21	  32.94
  61.49	 -47.97	  59.29
  53.52	 -44.39	  68.21
  46.57	 -40.71	  74.49
  41.59	 -37.02	  77.03
  40.47	 -34.95	  74.61
  47.09	 -33.49	  61.08
  55.79	 -28.16	  45.62
  60.95	 -25.78	  38.85
  55.32	 -30.00	  47.43
  43.63	 -27.00	  57.89
  80.35	  13.09	  31.27
 101.61	  62.44	  25.02
  98.73	  79.94	  41.80
  94.25	  83.23	  15.03
  99.27	  63.31	   1.59
 101.39	  26.39	   6.22
  89.45	 -19.78	  23.41
  50.61	 -38.52	  69.08
  25.61	-152.55	  95.60
  48.36	 -22.89	  63.38
 105.98	  19.69	  32.31
 111.17	  44.87	  25.01
 109.48	  59.23	  20.34
 107.22	  57.78	   8.64
 110.60	  33.67	   4.55
 105.07	  -1.06	  11.80
  91.38	 -31.81	  26.31
  65.51	 -43.39	  58.91
  35.18	-144.22	  91.09
  37.65	 -30.99	  80.99
 111.04	   9.56	  34.63
 118.91	  33.64	  26.33
 118.05	  49.09	  21.00
 115.95	  56.40	  14.80
 114.68	  55.26	   5.06
 117.66	  40.41	   4.55
 117.58	  24.96	   8.24
 115.02	  12.22	  12.08
 110.77	   2.80	  16.39
 107.95	  -1.95	  17.68
 101.86	  -8.34	  21.26
  98.81	 -13.84	  20.50
  95.34	 -28.30	  25.33
  80.22	 -44.60	  47.45
  59.74	 -44.46	  70.74
  45.48	 -39.42	  82.03
  68.93	 -31.47	  59.36
 117.87	  10.82	  30.02
 120.40	  43.25	  20.93
 116.35	  60.72	  16.21
 110.88	  68.02	   2.90
 116.85	  55.83	  -3.45
 123.46	  19.68	   4.04
 115.95	 -25.54	  23.61
  71.37	 -44.58	  66.92
  33.42	-144.31	  92.08
  77.84	 -29.97	  62.71
 119.76	  -5.66	  35.36
 126.04	  13.47	  24.11
 126.21	  34.39	  16.45
 122.03	  50.28	  11.03
 121.41	  48.93	   5.87
 124.10	  39.71	   4.28
 125.45	  31.65	   3.66
 123.87	   8.81	   8.80
 121.26	  -9.23	  15.63
 118.96	 -13.84	  18.95
 116.39	 -15.69	  21.55
 113.68	 -16.66	  23.25
 109.95	 -17.90	  24.57
 107.87	 -18.49	  24.76
 106.90	 -17.33	  25.36
 107.54	 -15.17	  24.45
 107.30	 -13.72	  23.90
 106.56	 -12.45	  23.52
 106.35	 -11.46	  22.11
 108.41	 -11.64	  19.01
 111.50	 -20.01	  22.64
  97.45	 -27.28	  40.81
  84.09	 -25.02	  50.51
 121.69	  18.55	  27.91
 114.23	  67.99	  26.83
  97.87	  84.36	  68.27
  96.37	  86.32	  10.38
 122.64	  62.60	   0.06
 133.13	  14.09	   7.58
 123.30	 -26.44	  27.05
  88.30	 -38.51	  63.37
  61.50	 -32.73	  75.56
 130.86	  -6.92	  37.55
 136.53	  33.61	  21.90
 132.49	  54.87	  16.27
 128.33	  65.43	   7.24
 134.32	  58.35	  -0.33
